Field Name,Variable Type,Definition
RefID,Nominal Categorical,Unique (sequential) number assigned to vehicles
IsBadBuy,Binary,Identifies if the kicked vehicle was an avoidable purchase
PurchDate,Date Variable,The Date the vehicle was Purchased at Auction
Auction,Nominal Categorical,Auction provider at which the vehicle was purchased
VehYear,Date Variable,The manufacturer's year of the vehicle
VehicleAge,Continuous Numerical,The Years elapsed since the manufacturer's year
Make,Nominal Categorical,Vehicle Manufacturer
Model,Nominal Categorical,Vehicle Model
Trim,Nominal Categorical,Vehicle Trim Level
SubModel,Nominal Categorical,Vehicle Submodel
Color,Nominal Categorical,Vehicle Color
Transmission,Nominal Categorical,"Vehicle's transmission type (Automatic, Manual)"
WheelTypeID,Nominal Categorical,The type ID of the vehicle wheel
WheelType,Nominal Categorical,"The vehicle wheel type description (Alloy, Covers)"
VehOdo,Continuous Numerical,The vehicle's odometer reading
Nationality,Nominal Categorical,The Manufacturer's country
Size,Nominal Categorical,"The size category of the vehicle (Compact, SUV, etc.)"
TopThreeAmericanName,Nominal Categorical,Identifies if the manufacturer is one of the top three American manufacturers
MMRAcquisitionAuctionAveragePrice,Continuous Numerical,Acquisition price for this vehicle in average condition at time of purchase
MMRAcquisitionAuctionCleanPrice,Continuous Numerical,Acquisition price for this vehicle in above-average condition at time of purchase
MMRAcquisitionRetailAveragePrice,Continuous Numerical,Acquisition price for this vehicle in the retail market in average condition at time of purchase
MMRAcquisitonRetailCleanPrice,Continuous Numerical,Acquisition price for this vehicle in the retail market in above-average condition at time of purchase
MMRCurrentAuctionAveragePrice,Continuous Numerical,Acquisition price for this vehicle in average condition as of the current day
MMRCurrentAuctionCleanPrice,Continuous Numerical,Acquisition price for this vehicle in above-average condition as of the current day
MMRCurrentRetailAveragePrice,Continuous Numerical,Acquisition price for this vehicle in the retail market in average condition as of the current day
MMRCurrentRetailCleanPrice,Continuous Numerical,Acquisition price for this vehicle in the retail market in above-average condition as of the current day
PRIMEUNIT,Binary,Identifies if the vehicle would have a higher demand than a standard purchase
AUCGUART,Nominal Categorical,"The level guarantee provided by auction for the vehicle (Green light - Guaranteed/arbitratable, Yellow Light - caution/issue, Red light - sold as-is)"
KickDate,Date Variable,Date the vehicle was kicked back to the auction
BYRNO,Nominal Categorical,Unique number assigned to the buyer that purchased the vehicle
VNZIP1,Nominal Categorical,Zip code where the car was purchased
VNST,Nominal Categorical,State where the car was purchased
VehBCost,Continuous Numerical,Acquisition cost paid for the vehicle at time of purchase
IsOnlineSale,Binary,Identifies if the vehicle was originally purchased online
WarrantyCost,Continuous Numerical,Warranty price (term = 36 months and mileage = 36K)
