,TOTAL VALUE ,TAX,LOT SQFT ,YR BUILT,GROSS AREA ,LIVING AREA,FLOORS ,ROOMS,BEDROOMS ,FULL BATH,HALF BATH,KITCHEN,FIREPLACE,rooms/living area,Age,Tax/Age
TOTAL VALUE ,1,,,,,,,,,,,,,,,
TAX,0.999999974,1,,,,,,,,,,,,,,
LOT SQFT ,0.546123367,0.546119842,1,,,,,,,,,,,,,
YR BUILT,-0.100916791,-0.100917684,-0.068907528,1,,,,,,,,,,,,
GROSS AREA ,0.800518804,0.800517926,0.448879512,-0.167928226,1,,,,,,,,,,,
LIVING AREA,0.83712044,0.837121884,0.426045068,-0.131273999,0.899775004,1,,,,,,,,,,
FLOORS ,0.481522973,0.481523526,0.073661977,-0.190452696,0.300666006,0.475824477,1,,,,,,,,,
ROOMS,0.638539067,0.638541768,0.308394655,-0.144686287,0.65150096,0.720671122,0.432856335,1,,,,,,,,
BEDROOMS ,0.561871366,0.561872405,0.254105572,-0.130411022,0.571791226,0.641040745,0.431242288,0.710693461,1,,,,,,,
FULL BATH,0.432806937,0.432805783,0.201317207,0.073706261,0.419734242,0.437987025,0.112165992,0.378273971,0.332620283,1,,,,,,
HALF BATH,0.348167273,0.34816486,0.134995576,0.060685426,0.2266833,0.30109822,0.316142173,0.282654599,0.256852282,-0.130628451,1,,,,,
KITCHEN,0.018264631,0.018261275,0.044525051,0.052091194,0.030500746,0.082824797,-0.114601746,0.129223151,0.085353027,0.146650171,-0.020070628,1,,,,
FIREPLACE,0.358567032,0.358565594,0.181878654,0.087234369,0.270080376,0.262158827,0.120506212,0.205222589,0.164379953,0.14015999,0.176234044,-0.009561733,1,,,
rooms/living area,-0.543718269,-0.543717036,-0.260988286,0.051576307,-0.603976713,-0.700357568,-0.352484336,-0.086477038,-0.247937499,-0.22817961,-0.20440218,0.017718666,-0.155980678,1,,
Age,0.100916791,0.100917684,0.068907528,-1,0.167928226,0.131273999,0.190452696,0.144686287,0.130411022,-0.073706261,-0.060685426,-0.052091194,-0.087234369,-0.051576307,1,
Tax/Age,0.440335369,0.440334041,0.145289027,0.436728762,0.305356568,0.363813437,0.140201097,0.19627649,0.173044043,0.357734041,0.229346978,0.022377441,0.164356027,-0.279598026,-0.436728762,1
